"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17537","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186587","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL (2024-2029)","Elected MP","14-Jan-2026","ARIF","Payment Success","3705"
"17538","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186587","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL (2024-2029)","Elected MP","14-Jan-2026","MUBARIK","Payment Success","10400"
"17539","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186587","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL (2024-2029)","Elected MP","14-Jan-2026","LALI","Payment Success","3705"
"17540","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186587","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL (2024-2029)","Elected MP","14-Jan-2026","Ramkuwar","Payment Success","2280"
"17541","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186587","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL (2024-2029)","Elected MP","14-Jan-2026","DILSAD","Payment Success","10400"
"17542","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186587","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL (2024-2029)","Elected MP","14-Jan-2026","SOKAT","Payment Success","3705"
"17543","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/214861","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan (2024-2029)","Elected MP","25-Feb-2026","KISHAN BOLCK COMPANY","Payment Success","883049"
"17544","Rajasthan","Construction of public libraries and reading rooms","WS/MP18159/2024-2025/154581","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV (2024-2029)","Elected MP","30-Dec-2025","AHSHAN CONSTRUCTION AND SUPPLIERS","Payment Success","513446"
"17545","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP329/2025-2026/240724","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh (2024-2029)","Elected MP","31-Dec-2025","Pilania Construction","Payment Success","329361"
"17546","Odisha","Street lights","WS/MP18149/2025-2026/184419","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17547","Odisha","Street lights","WS/MP18149/2025-2026/184420","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17548","Odisha","Street lights","WS/MP18149/2025-2026/184418","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17549","Odisha","Street lights","WS/MP18149/2025-2026/184408","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17550","Odisha","Street lights","WS/MP18149/2025-2026/184448","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17551","Odisha","Street lights","WS/MP18149/2025-2026/184413","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17552","Odisha","Street lights","WS/MP18149/2025-2026/184411","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17553","Odisha","Street lights","WS/MP18149/2025-2026/184450","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17554","Odisha","Street lights","WS/MP18149/2025-2026/184402","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17555","Odisha","Street lights","WS/MP18149/2025-2026/184400","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17556","Odisha","Street lights","WS/MP18149/2025-2026/184423","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17557","Odisha","Street lights","WS/MP18149/2025-2026/184430","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17558","Odisha","Street lights","WS/MP18149/2025-2026/184401","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17559","Odisha","Street lights","WS/MP18149/2025-2026/184417","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17560","Odisha","Street lights","WS/MP18149/2025-2026/184427","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","01-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17561","Odisha","Street lights","WS/MP18149/2025-2026/184406","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17562","Odisha","Street lights","WS/MP18149/2025-2026/184443","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17563","Odisha","Street lights","WS/MP18149/2025-2026/184404","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","30-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
