"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"14360","Normal/Others","WS/MP18355/2025-2026/164531-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Providing High mask light at  koluru kundalapura village circle, Chunchanakuppe grama panchayath.","SHOBHA KARANDLAJE","BANGALORE NORTH","N/A","30-Aug-2025","498407"
"14361","Normal/Others","WS/MP18355/2025-2026/164527-Lighting of public spaces","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Providing High mask light at Kodigehalli village. Kodigehalli Gramapanchayath","SHOBHA KARANDLAJE","BANGALORE NORTH","N/A","30-Aug-2025","498407"
"14362","Normal/Others","WS/MP756/2025-2026/175358-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing Cement Road at B.C Street Sakthi Vilagam   Panchayat in Keerapalayam Block.(100m)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","04-Sep-2025","999403"
"14363","Normal/Others","WS/MP444/2024-2025/145904-Construction of bus-sheds or bus-stops","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","L.No. 177 Dt 07.10.24 Gram panchayat bundala ke multai road bundala me","Durga Das Uikey","BETUL(ST)","Images","30-Aug-2025","259942"
"14364","Normal/Others","WS/MP761/2025-2026/153966-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hallin Madiga wada , Yakinpur","Arvind Dharmapuri","NIZAMABAD","N/A","30-Aug-2025","295405"
"14365","Normal/Others","WS/MP761/2025-2026/153967-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Construction of Community hall in Mudiraj wada","Arvind Dharmapuri","NIZAMABAD","N/A","30-Aug-2025","291213"
"14366","Normal/Others","WS/MP444/2024-2025/145919-Construction of bus-sheds or bus-stops","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","L.No. 177 Dt 07.10.24 Gram panchayat parsodi ke parsodi jod par","Durga Das Uikey","BETUL(ST)","Images","30-Aug-2025","259942"
"14367","Normal/Others","WS/MP18045/2025-2026/207780-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA)","CONSTRUCTION OF PCC ROAD","VIJAYLAKSHMI DEVI","SIWAN","Images","30-Aug-2025","923958"
"14368","Normal/Others","WS/MP444/2024-2025/145905-Construction of bus-sheds or bus-stops","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","L.No. 177 Dt 07.10.24 Gram panchayat Jamuljhiri me Morkha road khedlibazar","Durga Das Uikey","BETUL(ST)","Images","30-Aug-2025","259942"
"14369","Normal/Others","WS/	 MP578/2024-2025/162089-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","kothav game shri rajnibhai na faliya ma pevar block nu kam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","Images","30-Aug-2025","300000"
"14370","Normal/Others","WS/MP18237/2024-2025/179775-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Mavi kalan me ravi sekhar se arvind ke makan tak cc road evm nali nirman karye. 95 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","624029"
"14371","Normal/Others","WS/MP18237/2024-2025/179665-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Rasoolpur ka majra kambho majra me satpal ke makan se vakiil ke makan ko hote hue anurag ke makan tak cc road evm nali nirman karye. 110 meter","IMRAN MASOOD","SAHARANPUR","Images","27-Sep-2025","849297"
"14372","Normal/Others","WS/MP18237/2024-2025/179704-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram janipur me Haji islam shekh ke makan se masoor ali ke makan tak cc road evm nali niran karye. 155 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","1193183"
"14373","Normal/Others","WS/MP18237/2024-2025/179612-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Randaul me Rajpal Singh ke Gher se UCO bank tak cc road evm nali nirman kary.  170 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","1194210"
"14374","Normal/Others","WS/MP18237/2024-2025/179749-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Kolki kalalan me naseer ki dukan se kalu pradhan ke makan tak v dhrampal ke makan se saleem ke makan tak cc road evm nali nirman karye. 150 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","888211"
"14375","Normal/Others","WS/MP18237/2024-2025/179725-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Bondki me meerhasan ke dunkan se samudaik shochalye tak  cc road evm nali nirman karye. 150 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","1440420"
"14376","Normal/Others","WS/MP18237/2024-2025/179744-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram padli khushalpur me Hazi jeemal ke makan se tazmmul ke makan tak cc road evm nali nirman karye. 85 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","573422"
"14377","Normal/Others","WS/MP18237/2024-2025/179772-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Gram Hoz kheri me Abbas ke makan se gado wali badi masjid tak cc road evm nali nirman karye. 135 meter","IMRAN MASOOD","SAHARANPUR","Images","31-Aug-2025","865346"
